zip,type,year_built,listPrice,lastSoldPrice,list_to_sold_ratio,sqft,price_per_sqft,stories,beds,baths,baths_full,baths_full_calc,property_age,price_diff,price_ratio,price_change_pct
98155,7,1984,835095,825100,0.99,2050,402.49,2,3,3,1,2,42,9995,1.01,0.01
98036,7,1959,724939,729948,1.01,1240,588.67,1,3,2,1,2,67,-5009,0.99,-0.01
98516,7,2012,445095,450075,1.01,1440,312.55,2,3,3,1,2,14,-4980,0.99,-0.01
98012,7,2026,1222787,1240021,1,2470,502.03,2,5,3,2,2,0,-16,0.99,-0.01
98290,7,1990,1222787,1462187.5,0.97,3865,456.97,2,4,4,2,2,36,43901,0.84,-0.16
98640,7,2017,529073,514935,0.97,1720,299.38,1,3,2,2,2,9,14138,1.03,0.03
99349,4,2001,499966,499978,1,2010,248.75,1,3,2,2,2,25,-12,1,0
98584,7,2006,844949,862848,1.02,1970,437.99,2,2,3,2,2,20,-17899,0.98,-0.02
98294,4,1988,594911,589941,0.99,1610,366.42,1,3,2,2,2,38,4970,1.01,0.01
98042,7,2003,699433,699436,1,2350,297.63,2,4,3,2,2,23,-3,1,0
98376,3,1992,298917,269943,0.96,1810,324.3,2,3,2,2,2,34,28974,1.11,0.11
98023,5,1973,849880,819093,0.96,3060,267.68,2,3,2,2,2,53,30787,1.04,0.04
98513,4,2012,388931,397084,1.02,1190,333.68,1,3,2,1,2,14,-8153,0.98,-0.02
99217,7,1909,274905,265069,0.96,1040,254.87,1,2,1,1,2,117,9836,1.04,0.04
99301,5,1954,454946,454930,1,1420,320.37,2,4,2,2,2,72,16,1,0
98295,4,2011,155087,148054,0.96,560,264.38,1,1.5,1,2,2,15,7033,1.05,0.05
98625,7,2021,612988,612964,1,2060,297.56,1,4,2,2,2,5,24,1,0
98119,7,1910,1222787,1375097,1,1920,680.56,2,3,2,1,2,116,-166,0.89,-0.11
98203,7,1946,570063,609949,1.03,1980,308.06,1,3,2,1,2,80,-33595,0.93,-0.07
98926,7,1950,544950,500057,0.96,2440,204.94,2,4,2,1,2,76,43901,1.09,0.09
